id,code,name,parent_id:id,note,reconcile,type,user_type:id
CED0,0,Plano de contas ECD Serviços,,Plano de contas ECD Serviços,FALSE,view,account.data_account_type_view
CED1,1,ATIVO,CED0,ATIVO,FALSE,view,account.data_account_type_view
CED101,1.01,CIRCULANTE,CED1,CIRCULANTE,FALSE,view,account.data_account_type_view
CED10101,1.01.01,DISPONIBILIDADES,CED101,DISPONIBILIDADES,FALSE,view,account.data_account_type_view
CED101010100,1.01.01.01.00,Caixa,CED10101,Caixa,FALSE,view,account.data_account_type_view
CED101010101,1.01.01.01.01,Diário de Caixa - Central/Matriz,CED10101,Diário de Caixa - Central/Matriz,FALSE,other,account.data_account_type_cash
CED101010102,1.01.01.01.02,Diario de Caixa - Filial A,CED10101,Diario de Caixa - Filial A,FALSE,other,account.data_account_type_cash
CED101010103,1.01.01.01.03,Diario de Caixa - Filial B,CED10101,Diario de Caixa - Filial B,FALSE,other,account.data_account_type_cash
CED101010200,1.01.01.02.00,Bancos,CED10101,Bancos,FALSE,view,account.data_account_type_view
CED101010201,1.01.01.02.01,Diario de Banco - Bco do Brasil c/c 999999-9,CED10101,Diario de Banco - Bco do Brasil c/c 999999-9,FALSE,other,account.data_account_type_bank
CED101010202,1.01.01.02.02,Diario de Banco - Bco Bradesco c/c 111111-0,CED10101,Diario de Banco - Bco Bradesco c/c 111111-0,FALSE,other,account.data_account_type_bank
CED101010300,1.01.01.03.00,Recursos no Exterior Decorrentes de Exportação,CED10101,Recursos no Exterior Decorrentes de Exportação,FALSE,view,account.data_account_type_view
CED101010400,1.01.01.04.00,Contas Bancárias – Subvenções,CED10101,Contas Bancárias – Subvenções,FALSE,view,account.data_account_type_view
CED101010500,1.01.01.05.00,Contas Bancárias – Doações,CED10101,Contas Bancárias – Doações,FALSE,view,account.data_account_type_view
CED101010600,1.01.01.06.00,Contas Bancárias – Outros Recursos Sujeitos a Restrições,CED10101,Contas Bancárias – Outros Recursos Sujeitos a Restrições,FALSE,view,account.data_account_type_view
CED101010700,1.01.01.07.00,Valores Mobiliários,CED10101,Valores Mobiliários,FALSE,view,account.data_account_type_view
CED101010701,1.01.01.07.01,Valores Mobiliários - Mercado de Capitais Interno,CED10101,Valores Mobiliários - Mercado de Capitais Interno,FALSE,view,account.data_account_type_view
CED101010702,1.01.01.07.02,Valores Mobiliários - Mercado de Capitais Externo,CED10101,Valores Mobiliários - Mercado de Capitais Externo,FALSE,view,account.data_account_type_view
CED101010800,1.01.01.08.00,Valores Mobiliários – Aplicações de Subvenções,CED10101,Valores Mobiliários – Aplicações de Subvenções,FALSE,view,account.data_account_type_view
CED101010900,1.01.01.09.00,Valores Mobiliários – Aplicações de Doações,CED10101,Valores Mobiliários – Aplicações de Doações,FALSE,view,account.data_account_type_view
CED101011000,1.01.01.10.00,Valores Mobiliários – Aplicações de Outros Recursos Sujeitos a Restrições,CED10101,Valores Mobiliários – Aplicações de Outros Recursos Sujeitos a Restrições,FALSE,view,account.data_account_type_view
CED101011100,1.01.01.11.00,Outras Contas do Disponivel,CED10101,Outras Contas do Disponivel,FALSE,view,account.data_account_type_view
CED10103,1.01.03,ESTOQUES,CED101,ESTOQUES,FALSE,view,account.data_account_type_view
CED101030101,1.01.03.01.01,Mercadorias para Revenda,CED10103,Mercadorias para Revenda,FALSE,other,account.data_account_type_asset
CED101030102,1.01.03.01.02,Insumos (materiais diretos),CED10103,Insumos (materiais diretos),FALSE,other,account.data_account_type_asset
CED101030103,1.01.03.01.03,Produtos em Elaboração,CED10103,Produtos em Elaboração,FALSE,other,account.data_account_type_asset
CED101030104,1.01.03.01.04,Produtos Acabados,CED10103,Produtos Acabados,FALSE,other,account.data_account_type_asset
CED101030105,1.01.03.01.05,Serviços em andamento,CED10103,Serviços em andamento,FALSE,other,account.data_account_type_asset
CED101030106,1.01.03.01.06,Insumos Agropecuários,CED10103,Insumos Agropecuários,FALSE,other,account.data_account_type_asset
CED101030107,1.01.03.01.07,Produtos Agropecuários em Formação,CED10103,Produtos Agropecuários em Formação,FALSE,other,account.data_account_type_asset
CED101030108,1.01.03.01.08,Produtos Agropecuários Acabados,CED10103,Produtos Agropecuários Acabados,FALSE,other,account.data_account_type_asset
CED101030200,1.01.03.02.00,Imóveis Destinados à Venda,CED10103,Imóveis Destinados à Venda,FALSE,other,account.data_account_type_asset
CED101030201,1.01.03.02.01,Construções em Andamento de Imóveis Destinados à Venda,CED10103,Construções em Andamento de Imóveis Destinados à Venda,FALSE,other,account.data_account_type_asset
CED101030300,1.01.03.03.00,Estoques Destinados à Doação,CED10103,Estoques Destinados à Doação,FALSE,other,account.data_account_type_asset
CED101030400,1.01.03.04.00,Outras Contas de Estoques,CED10103,Outras Contas de Estoques,FALSE,other,account.data_account_type_asset
CED10105,1.01.05,CRÉDITOS,CED101,CRÉDITOS,FALSE,view,account.data_account_type_view
CED101050100,1.01.05.01.00,Adiantamentos a Fornecedores,CED10105,Adiantamentos a Fornecedores,FALSE,view,account.data_account_type_view
CED101050101,1.01.05.01.01,Adiantamento a Fornecedores,CED10105,Adiantamento a Fornecedores,TRUE,other,account.data_account_type_asset
CED101050200,1.01.05.02.00,Clientes,CED10105,Clientes,FALSE,view,account.data_account_type_view
CED101050201,1.01.05.02.01,Clientes Circulante,CED10105,Clientes Circulante,TRUE,other,account.data_account_type_receivable
CED101050300,1.01.05.03.00,Créditos Fiscais CSLL – Diferenças Temporárias e Base de Cálculo Negativa,CED10105,Créditos Fiscais CSLL – Diferenças Temporárias e Base de Cálculo Negativa,FALSE,other,account.data_account_type_asset
CED101050400,1.01.05.04.00,Créditos Fiscais IRPJ – Diferenças Temporárias e Prejuízos Fiscais,CED10105,Créditos Fiscais IRPJ – Diferenças Temporárias e Prejuízos Fiscais,FALSE,other,account.data_account_type_asset
CED101050501,1.01.05.05.01,Imposto de Renda a Recuperar,CED10105,Imposto de Renda a Recuperar,FALSE,other,account.data_account_type_asset
CED101050502,1.01.05.05.02,IPI a Recuperar,CED10105,IPI a Recuperar,FALSE,other,account.data_account_type_asset
CED101050503,1.01.05.05.03,PIS e COFINS a Recuperar,CED10105,PIS e COFINS a Recuperar,FALSE,other,account.data_account_type_asset
CED101050504,1.01.05.05.04,CSLL a Recuperar,CED10105,CSLL a Recuperar,FALSE,other,account.data_account_type_asset
CED101050505,1.01.05.05.05,ICMS e Contribuições a Recuperar,CED10105,ICMS e Contribuições a Recuperar,FALSE,other,account.data_account_type_asset
CED101050506,1.01.05.05.06,Tributos Municipais a Recuperar,CED10105,Tributos Municipais a Recuperar,FALSE,other,account.data_account_type_asset
CED101050590,1.01.05.05.90,Outros Impostos e Contribuições a Recuperar,CED10105,Outros Impostos e Contribuições a Recuperar,FALSE,other,account.data_account_type_asset
CED101050600,1.01.05.06.00,Créditos por Contribuições e Doações,CED10105,Créditos por Contribuições e Doações,FALSE,other,account.data_account_type_asset
CED101050700,1.01.05.07.00,Outras Contas de Créditos,CED10105,Outras Contas de Créditos,FALSE,other,account.data_account_type_asset
CED10107,1.01.07,DESPESAS DO EXERCÍCIO SEGUINTE,CED101,DESPESAS DO EXERCÍCIO SEGUINTE,FALSE,view,account.data_account_type_view
CED101070100,1.01.07.01.00,Despesas do Exercício Seguinte,CED10107,Despesas do Exercício Seguinte,FALSE,other,account.data_account_type_asset
CED101070200,1.01.07.02.00,Outras Contas de Despesas do Exercício Seguinte,CED10107,Outras Contas de Despesas do Exercício Seguinte,FALSE,other,account.data_account_type_asset
CED10109,1.01.09,CONTAS RETIFICADORAS,CED101,CONTAS RETIFICADORAS,FALSE,view,account.data_account_type_view
CED101090101,1.01.09.01.01,(-) Duplicatas Descontadas,CED10109,(-) Duplicatas Descontadas,FALSE,other,account.data_account_type_asset
CED101090103,1.01.09.01.03,(-) Provisões para Créditos de Liquidação Duvidosa,CED10109,(-) Provisões para Créditos de Liquidação Duvidosa,FALSE,other,account.data_account_type_asset
CED101090105,1.01.09.01.05,(-) Provisão para Ajuste do Estoque ao Valor de Mercado,CED10109,(-) Provisão para Ajuste do Estoque ao Valor de Mercado,FALSE,other,account.data_account_type_asset
CED101090107,1.01.09.01.07,(-) Provisões para Ajuste ao Valor Provável de Realização,CED10109,(-) Provisões para Ajuste ao Valor Provável de Realização,FALSE,other,account.data_account_type_asset
CED101090190,1.01.09.01.90,(-) Outras Contas Retificadoras,CED10109,(-) Outras Contas Retificadoras,FALSE,other,account.data_account_type_asset
CED107,1.07,NÃO CIRCULANTE,CED1,NÃO CIRCULANTE,FALSE,view,account.data_account_type_view
